#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCC3	SLCO4A1	9606.ENSP00000285238	9606.ENSP00000217159	0	0	0	0	0	0	0	0.617	0.617
ABTB2	RXRG	9606.ENSP00000410157	9606.ENSP00000352900	0	0	0	0	0	0	0	0.431	0.431
ABTB2	SPTBN2	9606.ENSP00000410157	9606.ENSP00000432568	0	0	0	0	0	0	0	0.438	0.438
ADAM12	FSTL3	9606.ENSP00000357668	9606.ENSP00000166139	0	0	0	0	0.076	0.307	0	0.702	0.793
ADAM12	TIMP1	9606.ENSP00000357668	9606.ENSP00000218388	0	0	0	0	0.077	0	0	0.463	0.483
ADAM12	COL1A1	9606.ENSP00000357668	9606.ENSP00000225964	0	0	0	0	0.181	0	0	0.473	0.551
ADAM12	WISP1	9606.ENSP00000357668	9606.ENSP00000250160	0	0	0	0	0.141	0	0	0.382	0.447
ADAM12	MMP7	9606.ENSP00000357668	9606.ENSP00000260227	0	0	0	0	0	0	0	0.446	0.446
ADAM12	COL1A2	9606.ENSP00000357668	9606.ENSP00000297268	0	0	0	0	0.152	0	0	0.395	0.465
ADAM12	COL3A1	9606.ENSP00000357668	9606.ENSP00000304408	0	0	0	0	0.175	0	0	0.317	0.412
ADAM12	FN1	9606.ENSP00000357668	9606.ENSP00000346839	0	0	0	0	0.152	0	0	0.475	0.536
ADAM12	RYR1	9606.ENSP00000357668	9606.ENSP00000352608	0	0	0	0	0	0.057	0	0.434	0.443
ADAM12	DMD	9606.ENSP00000357668	9606.ENSP00000354923	0	0	0	0	0	0	0	0.436	0.436
ADAM12	TUSC3	9606.ENSP00000357668	9606.ENSP00000424544	0	0	0	0	0.065	0	0	0.412	0.427
ADAM12	COL5A1	9606.ENSP00000357668	9606.ENSP00000360882	0	0	0	0	0.192	0	0	0.338	0.442
ADAM12	POSTN	9606.ENSP00000357668	9606.ENSP00000369071	0	0	0	0	0.214	0	0	0.399	0.508
ADAM12	IGFBP3	9606.ENSP00000357668	9606.ENSP00000370473	0	0	0	0	0.141	0.487	0	0.356	0.691
ADAM12	SDC4	9606.ENSP00000357668	9606.ENSP00000361818	0	0	0	0	0	0	0.900	0.672	0.965
ADAMTS12	COMP	9606.ENSP00000422554	9606.ENSP00000222271	0	0	0	0	0	0.587	0	0.603	0.829
ADAMTS12	COL1A1	9606.ENSP00000422554	9606.ENSP00000225964	0	0	0	0	0.314	0.077	0	0.201	0.450
ADAMTS12	ADAMTS2	9606.ENSP00000422554	9606.ENSP00000251582	0	0	0	0.728	0.111	0	0.900	0.628	0.922
ADAMTS12	VCAN	9606.ENSP00000422554	9606.ENSP00000265077	0	0	0	0	0.096	0	0	0.414	0.448
ADAMTS12	MMP16	9606.ENSP00000422554	9606.ENSP00000286614	0	0	0	0	0.098	0.066	0	0.362	0.416
ADAMTS12	COL3A1	9606.ENSP00000422554	9606.ENSP00000304408	0	0	0	0	0.213	0.077	0	0.275	0.428
ADAMTS12	THBS2	9606.ENSP00000422554	9606.ENSP00000355751	0	0	0	0.542	0.161	0.123	0.900	0.209	0.926
ADAMTS12	ADAMTS14	9606.ENSP00000422554	9606.ENSP00000362304	0	0	0	0.714	0.090	0	0.900	0.642	0.922
ADAMTS12	ADAMTS7	9606.ENSP00000422554	9606.ENSP00000373472	0	0	0	0.925	0.124	0.379	0.900	0.825	0.944
ADAMTS12	ADAMTS9	9606.ENSP00000422554	9606.ENSP00000418735	0	0	0	0.732	0.097	0	0.900	0.745	0.924
ADAMTS12	SPON1	9606.ENSP00000422554	9606.ENSP00000460236	0	0	0	0.543	0.062	0	0.900	0.140	0.906
ADAMTS14	COMP	9606.ENSP00000362304	9606.ENSP00000222271	0	0	0	0	0.062	0.074	0	0.710	0.726
ADAMTS14	COL1A1	9606.ENSP00000362304	9606.ENSP00000225964	0	0	0	0	0.117	0.153	0.900	0.264	0.937
ADAMTS14	ADAMTS2	9606.ENSP00000362304	9606.ENSP00000251582	0	0	0	0.946	0.070	0	0.900	0.730	0.906
ADAMTS14	GDF15	9606.ENSP00000362304	9606.ENSP00000252809	0	0	0	0	0.061	0.056	0	0.403	0.424
ADAMTS14	COL1A2	9606.ENSP00000362304	9606.ENSP00000297268	0	0	0	0	0.142	0.243	0.900	0.290	0.947
ADAMTS14	COL3A1	9606.ENSP00000362304	9606.ENSP00000304408	0	0	0	0	0.096	0.153	0.900	0.123	0.923
ADAMTS14	BMP1	9606.ENSP00000362304	9606.ENSP00000305714	0	0	0	0	0.104	0	0	0.617	0.642
ADAMTS14	COL7A1	9606.ENSP00000362304	9606.ENSP00000332371	0	0	0	0	0.144	0.145	0	0.549	0.641
ADAMTS14	THBS2	9606.ENSP00000362304	9606.ENSP00000355751	0	0	0	0.542	0.159	0.074	0.900	0.142	0.919
ADAMTS14	COL11A1	9606.ENSP00000362304	9606.ENSP00000359114	0	0	0	0	0.082	0.153	0.900	0.213	0.930
ADAMTS14	COL5A1	9606.ENSP00000362304	9606.ENSP00000360882	0	0	0	0	0.117	0.153	0.900	0.283	0.939
ADAMTS14	SPON1	9606.ENSP00000362304	9606.ENSP00000460236	0	0	0	0.544	0.062	0	0.900	0.103	0.905
ADAMTS14	ADAMTS9	9606.ENSP00000362304	9606.ENSP00000418735	0	0	0	0.711	0.063	0	0.900	0.650	0.920
ADAMTS14	ADAMTS7	9606.ENSP00000362304	9606.ENSP00000373472	0	0	0	0.738	0.108	0	0.900	0.576	0.920
ADAMTS14	ADAMTS12	9606.ENSP00000362304	9606.ENSP00000422554	0	0	0	0.714	0.090	0	0.900	0.642	0.922
ADAMTS14	COL5A2	9606.ENSP00000362304	9606.ENSP00000364000	0	0	0	0	0.096	0.153	0.900	0.395	0.947
ADAMTS2	COMP	9606.ENSP00000251582	9606.ENSP00000222271	0	0	0	0	0.097	0.074	0	0.469	0.518
ADAMTS2	COL1A1	9606.ENSP00000251582	9606.ENSP00000225964	0	0	0	0	0.334	0.153	0.900	0.536	0.970
ADAMTS2	MMP16	9606.ENSP00000251582	9606.ENSP00000286614	0	0	0	0	0.062	0.066	0	0.381	0.410
ADAMTS2	VCAN	9606.ENSP00000251582	9606.ENSP00000265077	0	0	0	0	0.083	0	0	0.502	0.524
ADAMTS2	ZNF469	9606.ENSP00000251582	9606.ENSP00000402343	0	0	0	0	0.077	0.056	0	0.501	0.527
ADAMTS2	COL13A1	9606.ENSP00000251582	9606.ENSP00000381949	0	0	0	0	0.050	0.077	0	0.516	0.539
ADAMTS2	COL7A1	9606.ENSP00000251582	9606.ENSP00000332371	0	0	0	0	0.085	0.145	0	0.537	0.606
ADAMTS2	BMP1	9606.ENSP00000251582	9606.ENSP00000305714	0	0	0	0	0.085	0	0	0.595	0.614
ADAMTS2	ADAMTS14	9606.ENSP00000251582	9606.ENSP00000362304	0	0	0	0.946	0.070	0	0.900	0.730	0.906
ADAMTS2	SPON1	9606.ENSP00000251582	9606.ENSP00000460236	0	0	0	0	0.062	0	0.900	0.102	0.908
ADAMTS2	ADAMTS9	9606.ENSP00000251582	9606.ENSP00000418735	0	0	0	0.734	0.063	0	0.900	0.621	0.918
ADAMTS2	ADAMTS7	9606.ENSP00000251582	9606.ENSP00000373472	0	0	0	0.748	0.092	0	0.900	0.597	0.919
ADAMTS2	ADAMTS12	9606.ENSP00000251582	9606.ENSP00000422554	0	0	0	0.728	0.111	0	0.900	0.628	0.922
ADAMTS2	THBS2	9606.ENSP00000251582	9606.ENSP00000355751	0	0	0	0.541	0.174	0.074	0.900	0.288	0.926
ADAMTS2	COL11A1	9606.ENSP00000251582	9606.ENSP00000359114	0	0	0	0	0.169	0.153	0.900	0.324	0.946
ADAMTS2	COL3A1	9606.ENSP00000251582	9606.ENSP00000304408	0	0	0	0	0.309	0.153	0.900	0.505	0.967
ADAMTS2	COL5A1	9606.ENSP00000251582	9606.ENSP00000360882	0	0	0	0	0.293	0.153	0.900	0.588	0.972
ADAMTS2	COL1A2	9606.ENSP00000251582	9606.ENSP00000297268	0	0	0	0	0.300	0.321	0.900	0.579	0.977
ADAMTS2	COL5A2	9606.ENSP00000251582	9606.ENSP00000364000	0	0	0	0	0.188	0.339	0.900	0.705	0.982
ADAMTS7	COMP	9606.ENSP00000373472	9606.ENSP00000222271	0	0	0	0	0	0.519	0	0.764	0.882
ADAMTS7	ADAMTS2	9606.ENSP00000373472	9606.ENSP00000251582	0	0	0	0.748	0.092	0	0.900	0.597	0.919
ADAMTS7	VCAN	9606.ENSP00000373472	9606.ENSP00000265077	0	0	0	0	0.062	0	0	0.408	0.421
ADAMTS7	MMP16	9606.ENSP00000373472	9606.ENSP00000286614	0	0	0	0	0	0.066	0	0.399	0.415
ADAMTS7	PRSS12	9606.ENSP00000373472	9606.ENSP00000296498	0	0	0	0	0.067	0	0	0.412	0.428
ADAMTS7	COL3A1	9606.ENSP00000373472	9606.ENSP00000304408	0	0	0	0	0.117	0.077	0	0.465	0.527
ADAMTS7	THBS2	9606.ENSP00000373472	9606.ENSP00000355751	0	0	0	0.541	0.100	0.123	0.900	0.187	0.920
